latitude,longitude,price
48.86993262,2.362510641,125
48.83349369,2.318517923,75
48.85100067,2.358690415,115
48.85757577,2.352751311,115
48.87464191,2.343411112,99
48.86527873,2.393263494,90
48.85898545,2.347347219,75
48.86226582,2.371340963,70
48.86277521,2.374679593,135
48.86743024,2.375239535,105
48.88901885,2.346556393,80
48.8891813,2.344900905,75
48.87900068,2.316083429,85
48.84670189,2.350947128,75
48.87109639,2.374244018,157
48.88434173,2.340046138,100
48.86349861,2.369605227,70
48.82404589,2.368278631,100
48.86577514,2.377046074,79
48.85090144,2.386951667,60
48.85909093,2.377038854,90
48.88134163,2.338212418,95
48.88315136,2.34157622,110
48.89052204,2.344532781,75
48.83616238,2.363233428,55
48.85338935,2.362836192,78
48.87233374,2.36769022,59
48.85324287,2.341712932,125
48.87033105,2.371522491,105
48.8956619,2.383068755,89
48.87216995,2.362062915,80
48.88281672,2.332724196,110
48.88326585,2.332924269,65
48.86092971,2.342542301,250
48.88564594,2.359058951,80
48.83872269,2.35296524,98
48.83900879,2.35463472,120
48.84000146,2.400671817,190
48.89379874,2.335836155,55
48.83801879,2.354463474,98
48.85139911,2.391894306,80
48.88690586,2.35482559,49
48.86630974,2.350326963,120
48.86524165,2.348072921,63
48.85118928,2.356789575,85
48.87606553,2.393275349,97
48.85815801,2.399736413,110
48.85347205,2.350728118,70
48.88450586,2.334389615,70
48.87099489,2.388643229,47
48.86841866,2.40701998,100
48.8795246,2.305434294,76
48.86998335,2.35833895,190
48.86605741,2.367264918,79
48.88527826,2.345883421,72
48.85338621,2.290968876,120
48.89712559,2.322543227,49
48.87425603,2.385105541,80
48.845494,2.348148087,76
48.88627367,2.379299596,900
48.86310337,2.395266896,50
48.88562419,2.371569791,120
48.88658897,2.345067301,75
48.85996243,2.36754634,159
48.89333184,2.339126667,55
48.85551973,2.404573896,68
48.87737231,2.356364097,50
48.85220108,2.299001407,175
48.89118919,2.355159427,80
48.82926874,2.35672062,70
48.84995362,2.373728011,128
48.89027699,2.384884944,90
48.8784155,2.350294675,114
48.83977083,2.356820681,88
48.85485796,2.328854259,65
48.88688964,2.333640795,170
48.82480752,2.323315485,120
48.89119716,2.334473953,250
48.828654,2.374105352,70
48.85042955,2.37110677,60
48.8538658,2.32439699,132
48.88540584,2.344359406,90
48.85145265,2.387034301,110
48.83612953,2.401759917,32
48.88047007,2.394082298,50
48.82624697,2.350529382,47
48.88098569,2.394057111,48
48.88257375,2.387816638,180
48.86511443,2.366745751,60
48.83343512,2.346008143,99
48.84929866,2.390222843,58
48.85172489,2.355044204,907
48.88745371,2.346951936,140
48.87064137,2.345095254,85
48.85671992,2.377714314,139
48.85362337,2.363361439,93
48.8637521,2.375860427,150
48.87548623,2.372235239,75
48.82515433,2.362702795,98
48.85767508,2.355449469,175
48.86090909,2.365289031,166
48.86929603,2.371631748,79
48.87830263,2.339659861,69
48.88868043,2.375443749,88
48.84223328,2.34327522,150
48.8874652,2.326040293,150
48.86579467,2.379372817,140
48.86965348,2.367188014,45
48.88486953,2.344447023,155
48.85328936,2.359777936,215
48.85493658,2.362974873,158
48.87563597,2.387165672,63
48.89078187,2.360101157,34
48.86602596,2.340186609,112
48.85715981,2.396329438,60
48.84298886,2.258449839,130
48.86563468,2.33243916,175
48.85316157,2.363022951,165
48.87204196,2.309663839,190
48.84590277,2.304740515,53
48.85715168,2.357299253,110
48.8875241,2.345357629,85
48.88173212,2.361806915,88
48.85793304,2.358644246,280
48.85959164,2.381406388,69
48.86272036,2.360953263,120
48.88928654,2.351802406,160
48.83631033,2.400762495,48
48.86755561,2.369091614,130
48.8588013,2.366593809,120
48.8905711,2.359024808,61
48.86435779,2.362591069,80
48.87937253,2.343307883,110
48.87204284,2.314210833,360
48.85815936,2.360284088,117
48.86728447,2.358430886,170
48.87515716,2.383817599,150
48.84618364,2.304454636,31
48.83970249,2.304417588,630
48.84487824,2.330358304,150
48.87082252,2.291381877,65
48.83328613,2.33062986,99
48.89368143,2.384186673,120
48.8874115,2.34923876,70
48.87917609,2.358637591,99
48.87331692,2.380022855,120
48.86865958,2.389513378,99
48.87477124,2.363138193,103
48.8893525,2.379591502,105
48.87676277,2.293624257,80
48.89522632,2.323100217,60
48.87630058,2.294275917,290
48.85081821,2.349505108,140
48.84057582,2.3035331,80
48.89204229,2.334364301,70
48.87188185,2.356488499,100
48.82895788,2.352282458,225
48.87337618,2.378786169,60
48.86347379,2.341181765,95
48.86029895,2.353870546,139
48.83572607,2.346398125,80
48.88188355,2.393845531,60
48.85116439,2.319353234,180
48.84967145,2.378156608,50
